id,last_run,date,key_id,operation,tags,value,count,hash
6054,0,2026-04-29,pup_admin,total_global_developer_with_first_api_call_count,,0,1,999d95ef11b3a511ac96fffad9480c4c7c14ad12
6055,0,2026-04-29,pup_admin,total_global_developer_distinct_organization_name_count,,0,1,dde0cb968b004331a51559d7a200ce82e5a680bf
6056,0,2026-04-29,pup_admin,total_global_beneficiary_count,,21,1,d73e1c2c84bd2af1a3a15d4634d3b91724ebdee2
6057,0,2026-04-29,pup_admin,total_global_beneficiary_real_count,,0,1,e89acd46d002282b87f8c86072d77e128f7656c6
6058,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_count,,21,1,ff9de4e615bede7785987c50ef08f0b7c2bc2591
6059,0,2026-04-29,pup_admin,total_global_beneficiary_grant_count,,17,1,fea852627a2adc98252ebb6385973e46427e9a58
6060,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_count,,0,1,2c29084fefe1ce600f2ad0efca14ca3ad66d4711
6061,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_count,,17,1,2b37cfbee05245eb283dec8a5a52747f09bc0baa
6062,0,2026-04-29,pup_admin,total_global_beneficiary_grant_archived_count,,2,1,b31be3b95cf1d89679c4179ec38b7bed8f2f85b1
6063,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_archived_count,,0,1,c87c6012e1519f7954ee89681d76aa28c513603b
6064,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_archived_count,,2,1,f96fd1e8b65dc7b229386bff109cae5569a61e49
6065,0,2026-04-29,pup_admin,total_global_beneficiary_grant_or_archived_count,,17,1,39666a6d57ed55ab945d65e45914890772b89ac1
6066,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_or_archived_count,,0,1,c661fa5c6a604d88f1b89ff64e876cbc6d53310f
6067,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_or_archived_count,,17,1,29a79b8f14f65922d8a049fdae940c8520e66d92
6068,0,2026-04-29,pup_admin,total_global_beneficiary_grant_and_archived_count,,2,1,2a7407af91512a0b9c41a01f04ccc3b0f23bb92a
6069,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_and_archived_count,,0,1,2fe3c7cc8616cb02c1bc93143df078b5247bd745
6070,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_and_archived_count,,2,1,4dc36b19ea1c5bde33caf0c561badc7d28fb5e89
6071,0,2026-04-29,pup_admin,total_global_beneficiary_grant_not_archived_count,,15,1,207e363b70aada23fd38e00615db148272616564
6072,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_not_archived_count,,0,1,b84de4c8bdb49d6d305828e633b6138a17bc1b72
6073,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_not_archived_count,,15,1,f68fcf4081704ab0db900e3a3758b3a171b0b1cc
6074,0,2026-04-29,pup_admin,total_global_beneficiary_archived_not_grant_count,,0,1,55bc90a29f9377de8eff17b80d3ac3f2cd0b8610
6075,0,2026-04-29,pup_admin,total_global_beneficiary_real_archived_not_grant_count,,0,1,f4d1c49514a9f9353f1d3932efa91b21d434efc5
6076,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_archived_not_grant_count,,0,1,96e06989cfe6cc268dc6b05017448241e02beb7e
6077,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_to_apps_eq_1_count,,0,1,63bcc5a721f28ad9e90a979fb23431a519df549c
6078,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_to_apps_eq_1_count,,13,1,ec5e843741a1855821254363628b178a5a3ab32f
6079,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_to_apps_eq_2_count,,0,1,1445c05a14454646793eaddb2e762fb47994c475
6080,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_to_apps_eq_2_count,,4,1,59e07ae0ffff7a8dfda2b27fff75f4928a266c98
6081,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_to_apps_eq_3_count,,0,1,a523d635bcfd74373baac790de804afc6d6cb726
6082,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_to_apps_eq_3_count,,0,1,698b812a7b989e80691cf4cfb0d25e30e83acabb
6083,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_to_apps_eq_4thru5_count,,0,1,616d6c75f048addc83bc065e1fbbdfc99992642f
6084,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_to_apps_eq_4thru5_count,,0,1,44430675a7f82d507522d138fc3a0d7c416005e2
6085,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_to_apps_eq_6thru8_count,,0,1,f642346f3d25e32a8f05a59706d65865b9536d67
6086,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_to_apps_eq_6thru8_count,,0,1,f167b01bbec36db2e33699c77884f09b4c39dbd6
6087,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_to_apps_eq_9thru13_count,,0,1,7cecf8fa4a235d2c02d39eab9be90da08018fb0d
6088,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_to_apps_eq_9thru13_count,,0,1,7ef6d69935eee0098d76496b70727d862786e51c
6089,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_to_apps_gt_13_count,,0,1,b246288484789619b5bcd978e8a47ca132f4939e
6090,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_to_apps_gt_13_count,,0,1,1748a66cf3fb6d369095dd85c68ca20b803c1105
6091,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_archived_to_apps_eq_1_count,,0,1,fed849ec62c7502dbb1bab2bc22d7a6fe4b49bb0
6092,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_archived_to_apps_eq_1_count,,2,1,f172a21aa1ddbf5ac5cb802022cac08e96dae915
6093,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_archived_to_apps_eq_2_count,,0,1,1fd5b90bde71777e5ab0255c454126cd2d9a6a68
6094,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_archived_to_apps_eq_2_count,,0,1,65e797653c3b4785fe7717c65e016bf93911fe7b
6095,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_archived_to_apps_eq_3_count,,0,1,6a39d0f1cdb3b91a8d592bc48d214959300550ab
6096,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_archived_to_apps_eq_3_count,,0,1,f77d8a97ce0cec5371f24a451fdae2f891dfef90
6097,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_archived_to_apps_eq_4thru5_count,,0,1,bf708f72835efaa58a4d70e4ef5844836347d047
6098,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_archived_to_apps_eq_4thru5_count,,0,1,36710eeecf8d0c9987f1ea379c0ada2728846c23
6099,0,2026-04-29,pup_admin,total_global_beneficiary_real_grant_archived_to_apps_eq_6thru8_count,,0,1,a936f26fb448c3639f9de77329a4b498e0926b53
6100,0,2026-04-29,pup_admin,total_global_beneficiary_synthetic_grant_archived_to_apps_eq_6thru8_count,,0,1,a86c138e16852c85482e476d401cf577c1271944
